10	4.7875	None
10	None	3.889183759689331
20	1.8486	None
20	None	2.592015027999878
30	1.4717	None
30	None	1.5100936889648438
40	1.323	None
40	None	1.5113470554351807
50	1.3375	None
50	None	1.5678813457489014
60	1.2427	None
60	None	1.6592981815338135
70	1.2734	None
70	None	1.7492806911468506
80	1.1643	None
80	None	1.8768186569213867
90	1.1777	None
90	None	2.0068280696868896
100	0.9622	None
100	None	1.930837631225586
110	0.9481	None
110	None	1.850214958190918
120	0.8589	None
120	None	1.9324617385864258
130	0.8326	None
130	None	2.0642783641815186
140	0.7972	None
140	None	2.034736156463623
150	0.8763	None
150	None	1.9716732501983643
160	0.8343	None
160	None	1.9837706089019775
170	0.8609	None
170	None	1.984869360923767
180	0.8406	None
180	None	2.007678747177124
190	0.79	None
190	None	2.0382373332977295
200	0.5577	None
200	None	2.100986957550049
210	0.5198	None
210	None	2.0851619243621826
220	0.506	None
220	None	2.1012983322143555
230	0.5116	None
230	None	2.137960433959961
240	0.5704	None
240	None	2.150543451309204
250	0.4865	None
250	None	2.1348636150360107
260	0.5031	None
260	None	2.1075778007507324
270	0.5361	None
270	None	2.089825391769409
280	0.5272	None
280	None	2.086369037628174
282	None	None
